id,identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,source
A3312400117225003_fuel_used_gallons,A3312400117225003,331240,Alakanuk,2016-07-01,2016,7,fuel_used_gallons,10766,outlier_check
A3312400117225003_diesel_kwh_generated,A3312400117225003,331240,Alakanuk,2016-07-01,2016,7,diesel_kwh_generated,148807,outlier_check
A3312400217225003_diesel_kwh_generated,A3312400217225003,331240,Alakanuk,2016-08-01,2016,8,diesel_kwh_generated,52919,outlier_check
A3312400217225003_residential_customers,A3312400217225003,331240,Alakanuk,2016-08-01,2016,8,residential_customers,65,outlier_check
A3312400417225003_residential_customers,A3312400417225003,331240,Alakanuk,2016-10-01,2016,10,residential_customers,88,outlier_check
A3312400517225003_residential_customers,A3312400517225003,331240,Alakanuk,2016-11-01,2016,11,residential_customers,90,outlier_check
A3312400717225003_residential_customers,A3312400717225003,331240,Alakanuk,2017-01-01,2017,1,residential_customers,91,outlier_check
A3312400817225003_residential_customers,A3312400817225003,331240,Alakanuk,2017-02-01,2017,2,residential_customers,90,outlier_check
A3312400626225003_commercial_sold_to,A3312400626225003,331240,Alakanuk,2025-12-01,2025,12,commercial_sold_to,22954,outlier_check
A3312400726225003_commercial_sold_to,A3312400726225003,331240,Alakanuk,2026-01-01,2026,1,commercial_sold_to,27835,outlier_check
A3312400726225003_com_facil_sold_to,A3312400726225003,331240,Alakanuk,2026-01-01,2026,1,com_facil_sold_to,79189,outlier_check
A3312400826225003_commercial_sold_to,A3312400826225003,331240,Alakanuk,2026-02-01,2026,2,commercial_sold_to,22318,outlier_check
A3312400926225003_commercial_sold_to,A3312400926225003,331240,Alakanuk,2026-03-01,2026,3,commercial_sold_to,32495,outlier_check
A3312401026225003_commercial_sold_to,A3312401026225003,331240,Alakanuk,2026-04-01,2026,4,commercial_sold_to,26631,outlier_check
A3312401126225003_residential_sold_to,A3312401126225003,331240,Alakanuk,2026-05-01,2026,5,residential_sold_to,0,outlier_check
A3312401126225003_commercial_sold_to,A3312401126225003,331240,Alakanuk,2026-05-01,2026,5,commercial_sold_to,0,outlier_check
A3310500720225003_commercial_sold_to,A3310500720225003,331050,"Allakaket, Alatna",2020-01-01,2020,1,commercial_sold_to,7723,outlier_check
A3310500726225003_commercial_sold_to,A3310500726225003,331050,"Allakaket, Alatna",2026-01-01,2026,1,commercial_sold_to,6998,outlier_check
A3312500116225003_commercial_sold_to,A3312500116225003,331250,Ambler,2015-07-01,2015,7,commercial_sold_to,12461,outlier_check
A3312500216225003_commercial_sold_to,A3312500216225003,331250,Ambler,2015-08-01,2015,8,commercial_sold_to,12762,outlier_check
A3312500316225003_commercial_sold_to,A3312500316225003,331250,Ambler,2015-09-01,2015,9,commercial_sold_to,15624,outlier_check
A3312500416225003_commercial_sold_to,A3312500416225003,331250,Ambler,2015-10-01,2015,10,commercial_sold_to,22259,outlier_check
A3312500516225003_commercial_sold_to,A3312500516225003,331250,Ambler,2015-11-01,2015,11,commercial_sold_to,19421,outlier_check
A3312500616225003_commercial_sold_to,A3312500616225003,331250,Ambler,2015-12-01,2015,12,commercial_sold_to,24184,outlier_check
A3312500716225003_commercial_sold_to,A3312500716225003,331250,Ambler,2016-01-01,2016,1,commercial_sold_to,23567,outlier_check
A3312500816225003_commercial_sold_to,A3312500816225003,331250,Ambler,2016-02-01,2016,2,commercial_sold_to,5115,outlier_check
A3312500620225003_fuel_used_gallons,A3312500620225003,331250,Ambler,2019-12-01,2019,12,fuel_used_gallons,17629,outlier_check
A3312500722225003_residential_sold_to,A3312500722225003,331250,Ambler,2022-01-01,2022,1,residential_sold_to,79156,outlier_check
A3312501223225003_fuel_used_gallons,A3312501223225003,331250,Ambler,2023-06-01,2023,6,fuel_used_gallons,0,outlier_check
A3312500825225003_com_facil_sold_to,A3312500825225003,331250,Ambler,2025-02-01,2025,2,com_facil_sold_to,55826,outlier_check
A3312501125225003_fuel_used_gallons,A3312501125225003,331250,Ambler,2025-05-01,2025,5,fuel_used_gallons,0,outlier_check
A3312500526225003_commercial_sold_to,A3312500526225003,331250,Ambler,2025-11-01,2025,11,commercial_sold_to,12709,outlier_check
A3312500626225003_commercial_sold_to,A3312500626225003,331250,Ambler,2025-12-01,2025,12,commercial_sold_to,16036,outlier_check
A3312500726225003_commercial_sold_to,A3312500726225003,331250,Ambler,2026-01-01,2026,1,commercial_sold_to,16138,outlier_check
A3312500826225003_commercial_sold_to,A3312500826225003,331250,Ambler,2026-02-01,2026,2,commercial_sold_to,12643,outlier_check
A3312500926225003_commercial_sold_to,A3312500926225003,331250,Ambler,2026-03-01,2026,3,commercial_sold_to,12925,outlier_check
A3312501026225003_commercial_sold_to,A3312501026225003,331250,Ambler,2026-04-01,2026,4,commercial_sold_to,11701,outlier_check
A3312501126225003_residential_sold_to,A3312501126225003,331250,Ambler,2026-05-01,2026,5,residential_sold_to,0,outlier_check
A3312501126225003_commercial_sold_to,A3312501126225003,331250,Ambler,2026-05-01,2026,5,commercial_sold_to,0,outlier_check
A3323500916225003_peak_consumption_kw,A3323500916225003,332350,Anaktuvuk Pass,2016-03-01,2016,3,peak_consumption_kw,1070,outlier_check
A3323500617225003_peak_consumption_kw,A3323500617225003,332350,Anaktuvuk Pass,2016-12-01,2016,12,peak_consumption_kw,1134,outlier_check
