intertie_id,current_id,communities_intertied,month_of_intertie,year_of_intertie
190-0000,TRUE,Tuluksak,NA,NA
191-0000,TRUE,Tuntutuliak,NA,NA
192-0000,FALSE,Twin Hills,NA,NA
193-0000,TRUE,Nikolski,NA,NA
194-0000,TRUE,Unalakleet,NA,NA
195-0000,TRUE,Unalaska,NA,NA
196-0000,TRUE,Newtok,NA,NA
197-0000,TRUE,Venetie,NA,NA
198-0000,TRUE,White Mountain,NA,NA
199-0000,FALSE,Kobuk,NA,NA
200-0000,FALSE,Tununak,NA,NA
201-0000,FALSE,Nightmute,NA,NA
202-0000,FALSE,Saint Michael,NA,NA
203-0000,FALSE,Pitkas Point,NA,NA
204-0000,FALSE,Nunapitchuk,NA,NA
206-0000,FALSE,Chistochina,NA,NA
207-0000,FALSE,Coffman Cove,NA,NA
208-0000,FALSE,Ekwok,NA,NA
209-0000,FALSE,Hollis,NA,NA
210-0000,FALSE,Hydaburg,NA,NA
211-0000,FALSE,Naukati Bay,NA,NA
212-0000,FALSE,Tetlin,NA,NA
213-0000,TRUE,Whale Pass,NA,NA
214-0000,FALSE,Mentasta Lake,NA,NA
215-1985,TRUE,NA,NA,1985
216-1982,TRUE,NA,NA,1982
217-2009,TRUE,"Ketchikan, Petersburg, Wrangell",10,2009
218-0000,FALSE,Alakanuk,NA,NA
219-0000,TRUE,Sitka,NA,NA
221-0000,TRUE,Utqiagvik,NA,NA
222-0000,TRUE,"Juneau, Douglas",NA,NA
223-0000,TRUE,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA,NA
224_0000,TRUE,Deadhorse,NA,NA
225_0000,TRUE,Metlakatla,NA,NA
226_0000,TRUE,Paxson,NA,NA
227-0000,FALSE,Ketchikan,NA,NA
228-1981,FALSE,Wrangell-Petersburg,NA,1981
