identifier,project_code,stage_code,shortcut_dimension_4_code,line_no,sales_reporter_id,sales_reporting_name,ak_operator_id,operator_name,plant_id,plant_name,intertie_id,intertie_name,utility,community,amount,purchased_from,purchased_from_2,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,fuel_used_gallons,non_fuel_expenses,fuel_cost,total_kwh_purchased,total_kwh_purchased_2,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,diesel_kwh_generated,hydro_kwh_generated,natural_gas_kwh_generated,wind_kwh_generated,solar_kwh_generated,other_kwh_generated,calendar_month,fiscal_year,calendar_year,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_total_kwh,actual_rate,pro_rata_rate,residential_rate,effective_residential_rate,residential_kwh_per_customer_per_month,pce_residential_kwh_per_customer_per_month
A3316601217225003,331660,12,17,0,SR-153,"Saint Mary's, Andreafsky",AK-OP-006,Alaska Village Electric Cooperative,P67,Saint Mary's,075-2020,Saint Mary's_grid,ALASKA VILLAGE ELECTRIC COOP,ST. MARY'S,18673.65,NA,NA,3487,NA,56358,32774,13040,39800,0,2.33,14251,512815.16,33176.33,0,NA,172,41,19,17,0,0,NA,203028,0,NA,NA,NA,NA,6,2017,2017,50803,0,30426,81229,0.286,0.286,0.5029,0.21690000000000004,327.66279069767444,295.3662790697674
A3316701217225003,331670,12,17,0,SR-154,Saint Michael,AK-OP-006,Alaska Village Electric Cooperative,P73,Saint Michael,084-2015,Stebbins_grid,ALASKA VILLAGE ELECTRIC COOP,ST. MICHAEL,12839.99,NA,NA,NA,NA,35394,20686,36076,21133,0,NA,0,351533.59,0,0,NA,92,23,11,19,0,0,NA,NA,0,NA,NA,NA,NA,6,2017,2017,30663,0,22026,52689,0.2623,0.2623,0.4779,0.21560000000000001,384.7173913043478,333.29347826086956
A3316801217225003,331680,12,17,0,SR-167,Stebbins,AK-OP-006,Alaska Village Electric Cooperative,P74,Stebbins,084-2015,Stebbins_grid,ALASKA VILLAGE ELECTRIC COOP,STEBBINS,12603.63,NA,NA,5183,NA,45394,17314,13909,16574,0,2.63,14372,290548.04,37771.05,0,NA,132,21,12,20,0,0,NA,225104,0,NA,NA,NA,NA,6,2017,2017,41391,0,7189,48580,0.2623,0.2623,0.4779,0.21560000000000001,343.8939393939394,313.5681818181818
A3316851217225003,331685,12,17,0,SR-173,Teller,AK-OP-006,Alaska Village Electric Cooperative,P96,Teller,085-0000,Teller_grid,ALASKA VILLAGE ELECTRIC COOP,TELLER,7334.89,NA,NA,3188,NA,18927,3668,13093,13165,0,2.87,4968,153211.38,14069.38,0,NA,72,12,6,19,0,0,NA,52713,0,NA,NA,NA,NA,6,2017,2017,18573,0,2687,21260,0.345,0.345,0.565,0.21999999999999997,262.875,257.9583333333333
A3316901217225003,331690,12,17,0,SR-177,Togiak,AK-OP-006,Alaska Village Electric Cooperative,P75,Togiak,086-2020,Togiak_grid,ALASKA VILLAGE ELECTRIC COOP,TOGIAK,24857.13,NA,NA,4250,NA,83173,74615,38563,27771,0,2.78,17792,560539.02,48086.44,0,NA,226,43,19,34,0,0,NA,240200,0,NA,NA,NA,NA,6,2017,2017,71189,0,18283,89472,0.283,0.283,0.4997,0.2167,368.0221238938053,314.99557522123894
A3317001217225003,331700,12,17,0,SR-179,Toksook Bay,AK-OP-006,Alaska Village Electric Cooperative,P76,Toksook Bay,088-2008,Toksook Bay_grid,ALASKA VILLAGE ELECTRIC COOP,TOKSOOK BAY,19033.83,NA,NA,12140,NA,58116,4183,35757,14752,0,2.98,12562,322833.92,35369.57,0,NA,130,23,15,9,0,0,NA,182379,0,NA,60411,NA,NA,6,2017,2017,48021,0,24258,72279,0.272,0.272,0.5111,0.2391,447.04615384615386,369.39230769230767
A3317101217225003,331710,12,17,0,SR-182,Tununak,AK-OP-006,Alaska Village Electric Cooperative,P97,Tununak,088-2008,Toksook Bay_grid,ALASKA VILLAGE ELECTRIC COOP,TUNUNAK,8572.19,NA,NA,NA,NA,29096,0,18138,16348,0,NA,0,197181.48,0,0,NA,89,13,9,14,0,0,NA,NA,0,NA,NA,NA,NA,6,2017,2017,26632,0,5139,31771,0.272,0.272,0.5111,0.2391,326.92134831460675,299.23595505617976
A3317201217225003,331720,12,17,0,SR-84,Kalskag,AK-OP-006,Alaska Village Electric Cooperative,P77,Upper Kalskag,052-0000,Kalskag_grid,ALASKA VILLAGE ELECTRIC COOP,UPPER KALSKAG,6241.58,NA,NA,2434,NA,26422,5580,8991,11849,0,2.88,6632,169111.18,19087.56,0,NA,65,20,2,9,0,0,NA,99883,0,NA,NA,NA,NA,6,2017,2017,20838,0,128,20966,0.2977,0.2977,0.5152,0.21749999999999997,406.4923076923077,320.5846153846154
A3317301217225003,331730,12,17,0,SR-188,Wales,AK-OP-006,Alaska Village Electric Cooperative,P98,Wales,090-0000,Wales_grid,ALASKA VILLAGE ELECTRIC COOP,WALES,4946.6,NA,NA,2022,NA,15052,3068,12509,10018,0,2.66,3008,118534.11,7999.78,0,NA,45,12,5,10,0,0,NA,45375,0,NA,NA,NA,NA,6,2017,2017,13116,0,4455,17571,0.2897,0.2897,0.5067,0.21700000000000003,334.4888888888889,291.46666666666664
A3317401217225003,331740,12,17,0,SR-86,Karluk,AK-OP-007,Alutiiq Power Company,P100,Karluk,092-0000,Karluk_grid,KARLUK IRA TRIBAL COUNCIL,KARLUK,2204.66,NA,NA,177,45,4972,10178,1600,0,0,3.372,2111,4636.92,7118.29,0,NA,14,9,4,1,2,0,NA,18283,0,NA,NA,NA,NA,6,2017,2017,4116,0,1600,5716,0.3857,0.3857,0.7,0.31429999999999997,355.14285714285717,294
A3317501217225003,331750,12,17,0,SR-24,Atka,AK-OP-011,"Atka, City of",P107,Atka,095-0000,Atka_grid,CITY OF ATKA,ATKA,2952.51,NA,NA,4609,56,9308,11397,3174,4525,125,4.5263,370,2600,1674.73,0,NA,31,8,18,6,1,0,NA,1027,37116,NA,NA,NA,NA,6,2017,2017,9021,0,2918,11939,0.2473,0.2473,0.705,0.4577,300.258064516129,291
A3317601217225003,331760,12,17,0,SR-21,Aniak,AK-OP-009,Aniak Light & Power,P105,Aniak,093-0000,Aniak_grid,ANIAK LIGHT & POWER,ANIAK,16547.98,NA,NA,2419,400,65972,57962,3475,35089,2828,2.165,13391,64116.23,28991.52,0,NA,178,25,2,7,1,0,NA,177900,0,NA,NA,NA,NA,6,2017,2017,53138,0,3475,56613,0.2923,0.2923,0.5683,0.276,370.6292134831461,298.5280898876405
A3317701217225003,331770,12,17,0,SR-23,Arctic Village,AK-OP-010,Arctic Village Electric Company,P106,Arctic Village,094-0000,Arctic Village_grid,ARCTIC VILLAGE COUNCIL,ARCTIC VILLAGE,13093.06,NA,NA,NA,52,15922,6703,1960,595,1358,4.5593,0,11770.66,0,0,NA,78,5,5,3,5,0,NA,31126,0,NA,NA,NA,NA,6,2017,2017,14580,0,1960,16540,0.7916,0.7916,1,0.20840000000000003,204.12820512820514,186.92307692307693
A3317801217225003,331780,12,17,0,SR-25,Atmautluak,AK-OP-012,Atmautluak Tribal Utilities,P108,Atmautluak,096-0000,Atmautluak_grid,ATMAUTLUAK TRIBAL UTILITIES,ATMAUTLUAK,6884.75,NA,NA,3175,73,23549,4410,5338,1172,93,2.8872,4060,9620.35,11722.03,0,NA,70,8,7,5,1,0,NA,54269,0,NA,NA,NA,NA,6,2017,2017,22212,0,5338,27550,0.2499,0.2499,0.7,0.45009999999999994,336.4142857142857,317.3142857142857
A3317901217225003,331790,12,17,0,SR-27,Beaver,AK-OP-013,Beaver Joint Utilities,P111,Beaver,097-0000,Beaver_grid,BEAVER JOINT UTILITIES,BEAVER,2834.88,NA,NA,7,108,6772,6315,2912,301,420,3.1948,2047,4500,6539.76,0,NA,28,7,3,4,4,0,NA,20088,0,NA,NA,NA,NA,6,2017,2017,6301,0,1500,7801,0.3634,0.3634,0.9,0.5366,241.85714285714286,225.03571428571428
A3318001217225003,331800,12,17,0,SR-28,"Bethel, Oscarville",AK-OP-006,Alaska Village Electric Cooperative,P47,Bethel,034-1988,Bethel_grid,ALASKA VILLAGE ELECTRIC COOP,BETHEL; OSCARVILLE,31293.81,NA,NA,76649,NA,702515,1148769,566133,362310,0,2.45,214313,7893613.64,588374.91,0,NA,1853,752,45,82,0,0,NA,2964000,0,NA,NA,NA,NA,6,2017,2017,585684,0,157636,743320,0.0421,0.0421,0.2609,0.2188,379.123043712898,316.07339449541286
A3318201217225003,331820,12,17,0,SR-32,Buckland,AK-OP-016,"Buckland, City of",P113,Buckland,099-0000,Buckland_grid,CITY OF BUCKLAND,BUCKLAND,5410.48,NA,NA,3231,237,43598,45326,8094,0,335,3.2739,17271,9257.37,56543.53,0,NA,98,17,10,0,2,0,NA,100500,0,NA,NA,NA,NA,6,2017,2017,34010,0,4092,38102,0.142,0.142,0.474,0.33199999999999996,444.8775510204082,347.0408163265306
A3318301217225003,331830,12,17,0,SR-33,Central,AK-OP-139,Gold Country Energy,P145,Central,116-0000,Central_grid,GOLD COUNTRY ENERGY,CENTRAL,5680.25,NA,NA,1321,85,20040,4377,403,3480,0,2.09,3313,6822.13,6924.17,0,NA,138,7,1,5,0,0,NA,37787,0,NA,NA,NA,NA,6,2017,2017,18462,0,403,18865,0.3011,0.3011,0.5924,0.29130000000000006,145.2173913043478,133.7826086956522
A3318401217225003,331840,12,17,0,SR-34,Chalkyitsik,AK-OP-019,Chalkyitsik Village Council,P114,Chalkyitsik,100-0000,Chalkyitsik_grid,CHALKYITSIK VILLAGE COUNCIL,CHALKYITSIK,2838.67,NA,NA,3573,54,4958,5674,3027,130,0,3.8982,1432,NA,5582.22,0,NA,45,6,8,4,1,0,NA,20460,0,NA,NA,NA,NA,6,2017,2017,4958,0,3027,7985,0.3555,0.3555,0.95,0.5945,110.17777777777778,110.17777777777778
A3318501217225003,331850,12,17,0,SR-36,Chenega Bay,AK-OP-020,Chenega Ira Council,P115,Chenega Bay,101-0000,Chenega_grid,NATIVE VILLAGE OF CHENEGA,CHENEGA BAY,2917.52,NA,NA,1147,44,13823,5248,2906,213,0,4.1142,1468,1264.39,6039.65,0,NA,25,11,9,3,0,0,NA,25694,0,NA,NA,NA,NA,6,2017,2017,6229,0,1891,8120,0.3593,0.3593,0.665,0.3057,552.92,249.16
A3318601217225003,331860,12,17,0,SR-38,Chignik,AK-OP-021,"Chignik, City of",P118,Chignik Bay,104-0000,Chignik_grid,CITY OF CHIGNIK,CHIGNIK,5765.31,NA,NA,2422,214,19997,63891,6580,512,0,2.25,6850,5825.38,15412.5,0,NA,61,27,10,1,0,0,NA,96945,0,NA,NA,NA,NA,6,2017,2017,16546,0,6580,23126,0.2493,0.2493,0.431,0.1817,327.8196721311475,271.24590163934425
A3318701217225003,331870,12,17,0,SR-39,Chignik Lagoon,AK-OP-023,Chignik Lagoon Power Utility,P116,Chignik Lagoon,102-0000,Chignik Lagoon_grid,CHIGNIK LAGOON POWER UTILITY,CHIGNIK LAGOON,5247.02,NA,NA,1248,94,27287,9345,3307,701,293,3.0013,890,6937.21,2671.16,0,NA,48,8,6,1,2,0,NA,10679,35291,NA,NA,NA,NA,6,2017,2017,16523,0,3307,19830,0.2646,0.2646,0.5243,0.2597,568.4791666666666,344.2291666666667
A3318801217225003,331880,12,17,0,SR-40,Chignik Lake,AK-OP-022,Chignik Lake Electric Utility,P117,Chignik Lake,103-0000,Chignik Lake_grid,CHIGNIK LAKE ELECTRIC UTILITY,CHIGNIK LAKE,4812.22,NA,NA,619,64,9451,4178,3454,1500,220,3.8724,1961,5234,7593.78,0,NA,49,4,9,1,1,0,NA,22646,0,NA,NA,NA,NA,6,2017,2017,7867,0,3319,11186,0.4302,0.4302,0.86,0.4298,192.87755102040816,160.55102040816325
A3318901217225003,331890,12,17,0,SR-43,Chitina,AK-OP-024,Chitina Electric Inc,P119,Chitina,105-0000,Chitina_grid,CHITINA ELECTRIC INC.,CHITINA,3105.3,NA,NA,3176,96,9018,20541,1168,1316,575,2.85,3174,4711.38,9045.9,0,NA,40,32,2,3,1,0,NA,36710,0,NA,NA,NA,NA,6,2017,2017,7781,0,1168,8949,0.347,0.347,0.6,0.253,225.45,194.525
A3319001217225003,331900,12,17,0,SR-45,Circle,AK-OP-025,Circle Electric Utility,P124,Circle,106-0000,Circle_grid,CIRCLE ELECTRIC LLC,CIRCLE,3735.73,NA,NA,110,43,7229,3658,2841,3928,0,2.37,2033,10187.83,4818.21,0,NA,41,5,6,3,0,0,NA,19800,0,NA,NA,NA,NA,6,2017,2017,6586,0,2744,9330,0.4004,0.4004,0.6993,0.29890000000000005,176.3170731707317,160.6341463414634
A3319101217225003,331910,12,17,0,SR-46,Clark's Point,AK-OP-026,"Clark's Point, City of",P125,Clark's Point,107-0000,Clark's Point_grid,CLARKS POINT VILLAGE COUNCIL,CLARK'S POINT,7897.96,NA,NA,1734,58,11710,6072,2444,1039,0,3.1153,2759,3685.21,8595.11,0,NA,20,8,6,4,2,0,NA,23200,0,NA,NA,NA,NA,6,2017,2017,10035,0,2444,12479,0.6329,0.6329,1.1,0.46710000000000007,585.5,501.75
A3319201217225003,331920,12,17,0,SR-49,"Cordova, Eyak",AK-OP-027,Cordova Electric Cooperative,P292,"Cordova, Eyak",014-1990,Cordova_grid,CORDOVA ELECTRIC,CORDOVA: EYAK,40430.51,NA,NA,18943,7410,358817,1653380,192615,97831,0,2.3126,10968,416362.83,25364.6,0,NA,741,859,59,46,0,0,NA,130503,2393136,NA,NA,NA,NA,6,2017,2017,256499,0,162470,418969,0.0965,0.0965,0.3658,0.2693,484.2334682860999,346.15249662618083
A3319401217225003,331940,12,17,0,SR-58,Egegik,AK-OP-029,Egegik Light & Power Co,P139,Egegik,111-0000,Egegik_grid,CITY OF EGEGIK,EGEGIK,9728.44,NA,NA,2093,251,17074,53734,11331,859,0,2.4535,6850,20348.42,16806.48,0,NA,69,14,16,2,0,0,NA,88849,0,NA,NA,NA,NA,6,2017,2017,15632,0,7280,22912,0.4246,0.4246,0.65,0.22540000000000004,247.44927536231884,226.55072463768116
A3319501217225003,331950,12,17,0,SR-59,Ekwok,AK-OP-006,Alaska Village Electric Cooperative,P81,Ekwok,065-2016,New_Stuyahok_grid,ALASKA VILLAGE ELECTRIC COOP,EKWOK,6465.45,NA,NA,NA,NA,16035,0,7851,4773,0,NA,0,83161.74,0,0,NA,50,17,7,3,0,0,NA,NA,0,NA,NA,NA,NA,6,2017,2017,13461,0,1620,15081,0.4297,0.4297,0.6541,0.2244,320.7,269.22
A3319601217225003,331960,12,17,0,SR-60,Elfin Cove,AK-OP-031,Elfin Cove Utility Commission,P140,Elfin Cove,112-0000,Elfin Cove_grid,ELFIN COVE UTILITY COMMISSION,ELFIN COVE,2648.11,NA,NA,2358,157,23275,27973,846,162,0,3.1376,4237,23422.67,13294.01,0,NA,52,32,6,1,0,0,NA,55836,0,NA,NA,NA,NA,6,2017,2017,6313,0,846,7159,0.3699,0.3699,0.582,0.21209999999999996,447.59615384615387,121.40384615384616
A3319701217225003,331970,12,17,0,SR-63,False Pass,AK-OP-032,"False Pass, City of",P141,False Pass,113-0000,False Pass_grid,CITY OF FALSE PASS,FALSE PASS,1481.7,NA,NA,3910,141,11100,22130,3719,1036,397,2.6113,4328,3570.34,11301.71,0,NA,29,13,11,3,0,0,NA,49926,0,NA,NA,NA,NA,6,2017,2017,6370,0,3327,9697,0.1528,0.1528,0.4699,0.3171,382.7586206896552,219.6551724137931
A3319801217225003,331980,12,17,0,SR-48,Cold Bay,AK-OP-034,G & K Inc,P143,Cold Bay,114-0000,Cold Bay_grid,G & K INC.,COLD BAY,5403.99,NA,NA,13396,396,12046,48662,6230,78964,0,4.54,14849,52590,67414.46,0,NA,38,25,4,52,0,0,NA,193959,0,NA,NA,NA,NA,6,2017,2017,6179,0,5460,11639,0.4643,0.4643,0.6664,0.2021,317,162.60526315789474
A3319901217225003,331990,12,17,0,SR-65,Galena,AK-OP-033,"Galena, City of",P144,Galena Electric Utility,115-0000,Galena_grid,CITY OF GALENA,GALENA,17086.69,NA,NA,25188,638,57459,163723,38260,46698,0,2.2192,26556,89137.08,58933.08,0,NA,186,116,13,42,0,0,NA,375367,0,NA,NA,NA,NA,6,2017,2017,47992,0,33880,81872,0.2087,0.2087,0.67,0.4613,308.9193548387097,258.02150537634407
A3320001217225003,332000,12,17,0,SR-67,Golovin,AK-OP-035,Golovin Power Utilities,P153,Golovin,117-0000,Golovin_grid,GOLOVIN POWER UTILITIES,GOLOVIN,3265.31,NA,NA,NA,183,17544,30618,6609,1191,5557,2.3582,5158,12189.25,12163.6,0,NA,52,36,10,5,3,0,NA,66896,0,NA,NA,NA,NA,6,2017,2017,15833,0,6609,22442,0.1455,0.1455,0.38,0.2345,337.38461538461536,304.4807692307692
A3320101217225003,332010,12,17,0,SR-70,Gustavus,AK-OP-005,Alaska Power & Telephone Company,P35,Gustavus,118-0000,Gustavus_grid,ALASKA POWER & TELEPHONE,GUSTAVUS,14807.05,NA,NA,3594,341,109258,62419,2746,14389,0,3.3885,1201,486059.5,4069.59,0,NA,468,83,5,23,0,0,NA,16850,205735,NA,NA,NA,NA,6,2017,2017,87817,0,2746,90563,0.1635,0.1635,0.4722,0.3087,233.45726495726495,187.64316239316238
A3320201217225003,332020,12,17,0,SR-64,Fort Yukon,AK-OP-037,Gwitchyaa Zhee Utilities Company,P154,Gwitchyaa Zhee,119-0000,Fort Yukon_grid,GWITCHYAA ZHEE UTILITY COMPANY,FORT YUKON,34047.67,NA,NA,5496,485,78778,56187,22167,20051,0,5.864,10691,37446.58,62692.02,0,NA,268,68,14,20,0,0,NA,217339,0,NA,NA,NA,NA,6,2017,2017,66394,0,22167,88561,0.3794,0.3794,0.6441,0.2647,293.94776119402985,247.73880597014926
A3320301217225003,332030,12,17,0,SR-77,Hughes,AK-OP-038,Hughes Power & Light,P160,Hughes,120-0000,Hughes_grid,HUGHES POWER & LIGHT,HUGHES,8707.69,NA,NA,2765,189,13425,9969,4967,44,0,4.2523,3061,2810.95,13016.29,0,NA,40,12,3,2,0,0,NA,30308,0,NA,NA,NA,NA,6,2017,2017,11951,0,4967,16918,0.5234,0.5234,0.71,0.1866,335.625,298.775
A3320401217225003,332040,12,17,0,SR-80,Igiugig,AK-OP-039,Igiugig Electric Company,P161,Igiugig,121-0000,Igiugig_grid,IGIUGIG ELECTRIC COMPANY,IGIUGIG,5356.67,NA,NA,1320,76,6304,7412,4630,1177,0,5.583,1868,2452.43,10429.04,0,NA,28,8,13,3,0,0,NA,25158,0,NA,NA,NA,NA,6,2017,2017,5813,0,3290,9103,0.5969,0.5969,0.909,0.31210000000000004,225.14285714285714,207.60714285714286
A3320501217225003,332050,12,17,0,SR-81,"Iliamna, Newhalen, Nondalton",AK-OP-040,"I-N-N Electric Coop, Inc",P162,Newhalen,123-1983,Newhalen_grid,ILIAMNA NEWHALEN NONDALTON,ILIAMNA; NEWHALEN; NONDALTON,24264.21,NA,NA,29346,516,54365,88818,18579,20722,0,4.6716,0,90365.54,0,0,NA,188,88,16,10,0,0,NA,NA,231304,NA,NA,NA,NA,6,2017,2017,43440,0,17474,60914,0.3973,0.3973,0.65,0.25270000000000004,289.1755319148936,231.06382978723406
A3320601217225003,332060,12,17,0,SR-52,Deering,AK-OP-042,Ipnatchiaq Electric Company,P169,Deering,130-0000,Deering_grid,IPNATCHIAQ ELECTRIC COMPANY,DEERING,4773.46,NA,NA,2382,89,13267,13345,6898,1364,186,2.5198,3109,42208.12,7834.06,0,NA,46,7,5,5,2,0,NA,31236,0,NA,2110,NA,NA,6,2017,2017,12241,0,6225,18466,0.2585,0.2585,0.6747,0.4162,288.4130434782609,266.10869565217394
A3320701217225003,332070,12,17,0,SR-89,King Cove,AK-OP-043,"King Cove, City of",P177,King Cove,131-0000,King Cove_grid,CITY OF KING COVE,KING COVE,0,NA,NA,1633,892,64512,99918,88736,2136,0,1.9,415,580.35,788.5,0,NA,185,215,33,6,0,0,NA,600,332940,NA,NA,NA,NA,6,2017,2017,54207,0,63000,117207,0,0,0.3,0.3,348.71351351351353,293.0108108108108
A3320801217225003,332080,12,17,0,SR-90,Kipnuk,AK-OP-044,Kipnuk Light Plant,P178,Kipnuk,132-0000,Kipnuk_grid,KIPNUK LIGHT PLANT,KIPNUK,19122.53,NA,NA,2735,NA,62848,39708,11092,1297,7903,2.3288,9939,25687.08,23145.94,0,NA,170,25,6,4,5,0,NA,125880,0,NA,NA,NA,NA,6,2017,2017,58175,0,5355,63530,0.301,0.301,0.5219,0.22090000000000004,369.6941176470588,342.20588235294116
A3320901217225003,332090,12,17,0,SR-94,Kobuk,AK-OP-006,Alaska Village Electric Cooperative,P179,Kobuk,149-1980,Shungnak_grid,ALASKA VILLAGE ELECTRIC COOP,KOBUK,4789.49,NA,NA,NA,NA,11496,6585,10581,4998,0,NA,0,121544.62,0,0,NA,36,12,3,4,0,0,NA,NA,0,NA,NA,NA,NA,6,2017,2017,9822,0,5299,15121,0.3315,0.3315,0.5507,0.21919999999999995,319.3333333333333,272.8333333333333
A3321001217225003,332100,12,17,0,SR-95,Kokhanok,AK-OP-046,Kokhanok Village Council,P188,Kokhanok,134-0000,Kokhanok_grid,KOKHANOK VILLAGE COUNCIL,KOKHANOK,9474.56,NA,NA,3097,61,11586,7247,4046,554,0,4.3111,2567,30259.25,11066.59,0,NA,57,7,11,4,0,0,NA,29600,0,NA,NA,NA,NA,6,2017,2017,11586,0,4046,15632,0.6061,0.6061,0.9,0.29390000000000005,203.26315789473685,203.26315789473685
A3321101217225003,332110,12,17,0,SR-96,Koliganek,AK-OP-064,New Koliganek Village Council,P213,Koliganek,157-0000,Koliganek_grid,NEW KOLIGANEK VILLAGE COUNCIL,KOLIGANEK,5397.11,NA,NA,3148,136,19632,6165,6499,1279,0,2.4508,5355,3861.58,13124.03,0,NA,68,8,10,13,0,0,NA,51220,0,NA,NA,NA,NA,6,2017,2017,17382,0,6499,23881,0.226,0.226,0.5,0.274,288.70588235294116,255.61764705882354
A3321201217225003,332120,12,17,0,SR-98,Kotlik,AK-OP-006,Alaska Village Electric Cooperative,P57,Kotlik,059-0000,Kotlik_grid,ALASKA VILLAGE ELECTRIC COOP,KOTLIK,12659.36,NA,NA,4685,NA,44586,26939,15693,39949,0,2.85,9794,357005.36,24028.6,0,NA,127,14,11,14,0,0,NA,141119,0,NA,NA,NA,NA,6,2017,2017,39374,0,13239,52613,0.2515,0.2515,0.4665,0.215,351.07086614173227,310.0314960629921
A3321301217225003,332130,12,17,0,SR-99,Kotzebue,AK-OP-048,Kotzebue Electric Association,P189,Kotzebue,135-0000,Kotzebue_grid,KOTZEBUE ELECTRIC ASSOCIATION,KOTZEBUE,76796.81,NA,NA,43332,2552,510991,761066,118108,67509,0,2.4104,110777,287434.08,267016.88,0,NA,1049,107,29,64,0,0,NA,1387651,0,NA,295189,NA,NA,6,2017,2017,291475,0,118108,409583,0.1875,0.1875,0.3814,0.1939,487.1220209723546,277.8598665395615
A3321401217225003,332140,12,17,0,SR-101,Koyukuk,AK-OP-049,"Koyukuk, City of",P190,Koyukuk,136-0000,Koyukuk_grid,CITY OF KOYUKUK,KOYUKUK,4116.82,NA,NA,3484,50,9065,4316,3784,1631,111,2.5285,2676,NA,6766.27,0,NA,60,8,5,6,1,0,NA,28610,0,NA,NA,NA,NA,6,2017,2017,9065,0,3784,12849,0.3204,0.3204,0.95,0.6295999999999999,151.08333333333334,151.08333333333334
A3321501217225003,332150,12,17,0,SR-102,Kwethluk,AK-OP-050,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,P191,Kwethluk,137-0000,Kwethluk_grid,KWETHLUK INCORPORATED,KWETHLUK,11219.05,NA,NA,3001,253,60095,42723,808,1258,5488,2.8907,9565,6546.61,27649.55,0,NA,189,25,2,5,12,0,NA,128303,0,NA,NA,NA,NA,6,2017,2017,51593,0,808,52401,0.2141,0.2141,0.5612,0.3471,317.962962962963,272.978835978836
A3321601217225003,332160,12,17,0,SR-103,Kwigillingok,AK-OP-051,Kwigillingok Power Company,P192,Kwigillingok,138-0000,Kwigillingok_grid,KWIGILLINGOK IRA COUNCIL,KWIGILLINGOK,9971.63,NA,NA,2699,174,38295,31954,2701,252,770,2.8935,6907,19156.17,19985.4,0,NA,96,18,3,3,5,0,NA,85300,0,NA,225,NA,NA,6,2017,2017,31507,0,2701,34208,0.2915,0.2915,0.67,0.37850000000000006,398.90625,328.1979166666667
A3321701217225003,332170,12,17,0,SR-104,Larsen Bay,AK-OP-052,Larsen Bay Utility Company,P193,Larsen Bay,139-0000,Larsen Bay_grid,LARSEN BAY UTILITY COMPANY,LARSEN BAY,52.88,NA,NA,3096,154,14052,36119,5950,8942,0,3.8477,0,3200,0,0,NA,42,24,10,2,0,0,NA,1832,84396,NA,NA,NA,NA,6,2017,2017,9603,0,5950,15553,0.0034,0.0034,0.41,0.4066,334.57142857142856,228.64285714285714
A3321801217225003,332180,12,17,0,SR-105,Levelock,AK-OP-053,Levelock Electrical Coop,P194,Levelock,140-0000,Levelock_grid,LEVELOCK ELECTRICAL COOP,LEVELOCK,3613.37,NA,NA,3751,76,8435,9400,3096,352,1138,2.6455,2405,7973.05,6362.43,0,NA,36,7,12,9,2,0,NA,29980,0,NA,NA,NA,NA,6,2017,2017,8295,0,1369,9664,0.3739,0.3739,0.85,0.4761,234.30555555555554,230.41666666666666
A3321901217225003,332190,12,17,0,SR-106,Lime Village,AK-OP-054,Lime Village Electric Utility,P195,Lime Village,141-0000,Lime Village_grid,LIME VILLAGE ELECTRIC UTILITY,LIME VILLAGE,1184.23,NA,NA,400,19,1237,1019,663,6,0,6.9995,565,1200,3954.72,0,NA,17,1,5,1,0,0,NA,4732,0,NA,NA,NA,NA,6,2017,2017,833,0,663,1496,0.7916,0.7916,1.7748,0.9832,72.76470588235294,49
A3322001217225003,332200,12,17,0,SR-108,Manley Hot Springs,AK-OP-090,TDX Manley Generating LLC,P253,Manley,188-0000,Manley Hot Springs_grid,TDX MANLEY GENERATING LLC,MANLEY HOT SPRINGS,8590.85,NA,NA,1398,78,17470,13399,1733,2913,0,2.25,4092,43801.41,9207,0,NA,91,13,7,3,0,0,NA,42918,0,NA,NA,NA,NA,6,2017,2017,14260,0,1720,15980,0.5376,0.5376,0.7322,0.1946,191.97802197802199,156.7032967032967
A3322101217225003,332210,12,17,0,SR-109,Manokotak,AK-OP-056,Manokotak Power Company,P196,Manokotak,142-0000,Manokotak_grid,MANOKOTAK POWER COMPANY,MANOKOTAK,12300.8,NA,NA,2077,121,50039,18412,8504,25225,3145,2.4794,11017,950.05,27315.55,0,NA,148,24,7,7,5,0,NA,107402,0,NA,NA,NA,NA,6,2017,2017,46709,0,8083,54792,0.2245,0.2245,0.55,0.3255,338.10135135135135,315.60135135135135
A3322201217225003,332220,12,17,0,SR-111,McGrath,AK-OP-057,McGrath Light & Power,P198,McGrath,143-0000,McGrath_grid,MCGRATH LIGHT & POWER,MCGRATH,17772.73,NA,NA,5465,343,39734,52921,9462,48692,60,3.377,12319,NA,41601.26,0,NA,186,55,16,31,1,0,NA,172253,0,NA,NA,NA,NA,6,2017,2017,36344,0,9462,45806,0.388,0.388,0.7621,0.3741,213.6236559139785,195.3978494623656
