identifier,project_code,stage_code,line_no,sales_reporter_id,sales_reporting_name,ak_operator_id,operator_name,plant_id,plant_name,intertie_id,intertie_name,utility,community,amount,purchased_from,purchased_from_2,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,non_fuel_expenses,fuel_cost,total_kwh_purchased,total_kwh_purchased_2,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,hydro_kwh_generated,natural_gas_kwh_generated,wind_kwh_generated,solar_kwh_generated,other_kwh_generated,calendar_month,fiscal_year,calendar_year,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_total_kwh,actual_rate,pro_rata_rate,residential_rate,effective_residential_rate,residential_kwh_per_customer_per_month,pce_residential_kwh_per_customer_per_month,fuel_used_gallons,diesel_kwh_generated,diesel_efficiency,imputed_residential_rate,imputed_pro_rata_rate,imputed_effective_residential_rate,imputed_most_recent_fuel_purch_price,imputed_fuel_used_gallons,imputed_fuel_cost,imputed_non_fuel_expenses,imputed_diesel_efficiency,imputed_diesel_kwh_generated,imputed_hydro_kwh_generated,imputed_natural_gas_kwh_generated,imputed_solar_kwh_generated,imputed_other_kwh_generated,imputed_powerhouse_consumption_kwh,imputed_peak_consumption_kw,imputed_residential_sold_to,imputed_commercial_sold_to,imputed_com_facil_sold_to,imputed_govt_facil_sold_to,imputed_unbilled_sold_to,imputed_residential_customers,imputed_commercial_customers,imputed_com_facil_customers,imputed_govt_facil_customers,imputed_unbilled_customers,imputed_other_customers,imputed_total_kwh_purchased,cleaned_during_energy_statistics
A3312501123225003,331250,11,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,26889.99,NA,NA,6726,NA,35250,3445,20968,33467,0,6.8089,0,62112.47,0,NA,76,13,12,9,0,0,NA,0,NA,NA,NA,NA,5,2023,2023,31838,0,13975,45813,0.5931,0.5931,0.858,0.2649,463.8157894736842,418.92105263157896,8425,107394,0.07844944782762538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312501223225003,331250,12,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,22288.43,NA,NA,7100,NA,28983,3269,16738,17733,0,6.8089,275943.52,6333,0,NA,76,13,12,9,0,0,NA,0,NA,NA,NA,NA,6,2023,2023,27239,0,10541,37780,1,0.5953,0.868,-0.14200000000000002,381.35526315789474,358.4078947368421,6015.612105096158,8040.68494452491,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500124225003,331250,01,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,21997.66,NA,NA,6935,NA,30135,3920,16386,15203,0,6.8089,0,40933.12,0,NA,75,13,12,9,0,0,NA,0,NA,0,NA,NA,7,2024,2023,27899,0,9355,37254,0.5953,0.5953,0.878,0.28269999999999995,401.8,371.9866666666667,7226,79515,0.09087593535810852,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500224225003,331250,02,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,23894.05,NA,NA,6894,NA,33076,3811,16711,22004,0,6.8089,0,41035.09,0,NA,76,13,12,9,0,0,NA,0,NA,0,NA,NA,8,2024,2023,30670,0,9769,40439,0.5953,0.5953,0.878,0.28269999999999995,435.2105263157895,403.55263157894734,7244,90771,0.07980522413546176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500324225003,331250,03,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,23542.07,NA,NA,4953,NA,32714,3062,15120,27825,0,6.8089,0,42745.83,0,NA,77,12,12,9,0,0,NA,0,NA,0,NA,NA,9,2024,2023,30718,0,9114,39832,0.5953,0.5953,0.878,0.28269999999999995,424.8571428571428,398.935064935065,7546,91740,0.08225419664268585,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500424225003,331250,04,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,26126.96,NA,NA,6368,NA,43340,3285,17600,36986,0,5.6647,0,57826,0,NA,78,12,12,9,0,0,NA,0,NA,0,NA,NA,10,2024,2023,37112,0,10726,47838,0.5505,0.5505,0.8309,0.2804,555.6410256410256,475.79487179487177,9185,116198,0.07904611094855334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500524225003,331250,05,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,27653.76,NA,NA,7215,NA,48424,3018,17928,36613,0,5.6647,0,61131.25,0,NA,77,12,12,9,0,0,NA,0,NA,0,NA,NA,11,2024,2023,39202,0,11454,50656,0.5505,0.5505,0.8309,0.2804,628.8831168831168,509.1168831168831,9710,121369,0.08000395488139475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500624225003,331250,06,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,28066.85,NA,NA,6625,NA,49980,3247,18532,36808,0,5.6647,0,41591.39,0,NA,77,12,12,9,0,0,NA,0,NA,0,NA,NA,12,2024,2023,38819,0,12636,51455,0.5505,0.5505,0.8309,0.2804,649.0909090909091,504.1428571428572,10170,123906,0.08207834971672073,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500724225003,331250,07,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,35240.84,NA,NA,7272,NA,62930,4149,20721,43876,0,6.2956,0,79289.07,0,NA,79,12,12,9,0,0,NA,0,NA,0,NA,NA,1,2024,2024,42470,0,13789,56259,0.6313,0.6313,0.9159,0.2846000000000001,796.5822784810126,537.5949367088608,12271,149089,0.08230654173010751,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500824225003,331250,08,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,31166.65,NA,NA,6381,NA,47518,3396,17327,35312,0,6.2956,0,61710.33,0,NA,78,12,12,9,0,0,NA,0,NA,0,NA,NA,2,2024,2024,38190,0,11492,49682,0.6313,0.6313,0.9159,0.2846000000000001,609.2051282051282,489.61538461538464,9142,109698,0.08333789130157342,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500924225003,331250,09,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,32377.89,NA,NA,7624,NA,50472,3463,19079,38520,0,6.2956,0,75163.48,0,NA,77,12,12,9,0,0,NA,0,NA,0,NA,NA,3,2024,2024,38784,0,12881,51665,0.6313,0.6313,0.9543,0.32300000000000006,655.4805194805194,503.68831168831167,11135,135848,0.08196660974029799,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312501024225003,331250,10,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,30245.37,NA,NA,4603,NA,40823,3388,19314,36477,0,6.2956,0,64448.12,0,NA,77,12,12,9,0,0,NA,0,NA,0,NA,NA,4,2024,2024,35629,0,12653,48282,0.6313,0.6313,0.9543,0.32300000000000006,530.1688311688312,462.7142857142857,9255,111980,0.08264868726558314,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312501124225003,331250,11,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,25618.51,NA,NA,2173,NA,31680,3084,17128,32372,0,6.2956,0,48598.96,0,NA,75,13,12,9,0,0,NA,0,NA,0,NA,NA,5,2024,2024,29908,0,10980,40888,0.6313,0.6313,0.9543,0.32300000000000006,422.4,398.7733333333333,6979,91671,0.0761309465370728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312501224225003,331250,12,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,21109.22,NA,NA,2915,NA,25441,3040,16120,17822,0,6.2956,282172.25,39839.33,0,NA,74,13,12,9,0,0,NA,0,NA,0,NA,NA,6,2024,2024,23908,0,9793,33701,0.6313,0.6313,0.9543,0.32300000000000006,343.7972972972973,323.0810810810811,5721,71514,0.07999832200687977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3312500125225003,331250,01,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,23385.49,NA,NA,3679,NA,32336,3482,16084,16245,0,6.2956,0,33079.42,0,NA,75,13,12,9,0,0,NA,0,NA,NA,NA,NA,7,2025,2024,29145,0,8291,37436,0.6313,0.6313,0.9543,0.32300000000000006,431.14666666666665,388.6,6484,79600,0.08145728643216081,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500225225003,331250,02,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,24898.64,NA,NA,2758,NA,32846,3214,16220,23983,0,6.2956,0,36446.54,0,NA,76,14,12,9,0,0,NA,0,NA,NA,NA,NA,8,2025,2024,31076,0,8789,39865,0.6259,0.6259,0.9543,0.3284,432.1842105263158,408.89473684210526,7144,86664,0.08243330564017354,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500325225003,331250,03,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,25946.7,NA,NA,2218,NA,33630,3204,16439,29279,0,6.2956,0,36186.36,0,NA,78,14,12,9,0,0,NA,0,NA,NA,NA,NA,9,2025,2024,32017,0,9531,41548,0.6259,0.6259,0.9543,0.3284,431.15384615384613,410.47435897435895,7093,92123,0.07699488727027995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500425225003,331250,04,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,30517.66,NA,NA,3481,NA,37065,2888,20114,32499,0,6.2956,0,45598.92,0,NA,77,15,12,9,0,0,NA,0,NA,NA,NA,NA,10,2025,2024,34272,0,11928,46200,0.6682,0.6682,0.9543,0.2861,481.3636363636364,445.09090909090907,7847,103760,0.07562644564379337,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500525225003,331250,05,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,28033.16,NA,NA,3590,NA,41988,2847,22363,32204,0,6.2956,0,43732.7,0,NA,75,15,12,9,0,0,NA,0,NA,NA,NA,NA,11,2025,2024,37139,0,12806,49945,0.5698,0.5698,0.8507,0.28090000000000004,559.84,495.18666666666667,6633,110229,0.06017472715891462,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500625225003,331250,06,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,29349.17,NA,NA,3415,NA,53155,3458,24050,36369,0,6.2956,0,47656.69,0,NA,74,15,12,9,0,0,NA,0,NA,NA,NA,NA,12,2025,2024,38990,0,13327,52317,0.5698,0.5698,0.8507,0.28090000000000004,718.3108108108108,526.8918918918919,10467,128530,0.08143624056640474,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500725225003,331250,07,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,31480.39,NA,NA,4776,NA,64972,4246,26824,44072,0,6.2956,0,88622.91,0,NA,75,15,12,9,0,0,NA,0,NA,NA,NA,NA,1,2025,2025,40800,0,15493,56293,0.5698,0.5698,0.8507,0.28090000000000004,866.2933333333333,544,12809,154984,0.08264724100552315,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500825225003,331250,08,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,47343.5,NA,NA,5279,NA,50957,3419,26118.30305857653,37147,0,6.2956,0,43498.5,0,NA,75,16,12,9,0,0,NA,0,NA,NA,NA,NA,2,2025,2025,38526,0,18409,56935,0.5698,0.5698,0.8507,0.28090000000000004,679.4266666666666,513.68,6287,128808,0.04880908018135519,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500925225003,331250,09,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,31146.39,NA,NA,4375,NA,48169,3353,28254,37578,0,6.2956,0,67057.98,0,NA,75,17,12,9,0,0,NA,0,NA,NA,NA,NA,3,2025,2025,37551,0,18409,55960,0.5698,0.5698,0.8507,0.28090000000000004,642.2533333333333,500.68,9692,127600,0.07595611285266457,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312501025225003,331250,10,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,30095.38,NA,NA,4776,NA,43050,2949,26127,33239,0,6.2956,0,56962.48,0,NA,75,17,12,9,0,0,NA,0,NA,NA,NA,NA,4,2025,2025,36592,0,17432,54024,0.5698,0.5698,0.8507,0.28090000000000004,574,487.8933333333333,8233,113198,0.07273096697821517,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312501125225003,331250,11,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,27426.48,NA,NA,4803,NA,36378,2790,22967,29374,0,6.2956,0,7043,0,NA,75,17,12,9,0,0,NA,0,NA,NA,NA,NA,5,2025,2025,34236,0,14885,49121,0.5698,0.5698,0.8507,0.28090000000000004,485.04,456.48,5480.58354140733,26582.354551583237,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312501225225003,331250,12,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,23861.42,NA,NA,6017,NA,31557,3186,22194,15824,0,6.2956,312181.57,41692.69,0,NA,73,18,12,9,0,0,NA,0,NA,NA,NA,NA,6,2025,2025,29462,0,13562,43024,0.5654,0.5654,0.8507,0.2853,432.28767123287673,403.5890410958904,6026,80759,0.07461707054322118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3312500126225003,331250,01,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,32904.57,NA,NA,7787,NA,35791,4007,25219,19034,0,6.9189,0,49351.8,0,NA,74,18,12,9,0,0,NA,0,NA,NA,NA,NA,7,2026,2025,31115,0,15057,46172,0.7227,0.7227,0.8507,0.128,483.6621621621622,420.47297297297297,7133,94866,0.07519026837855501,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500226225003,331250,02,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,32726.48,NA,NA,7258,NA,33149,3325,24940,29181,0,6.9189,0,50680.94,0,NA,76,19,12,9,0,0,NA,0,NA,NA,NA,NA,8,2026,2025,31080,0,14848,45928,0.7227,0.7227,0.8507,0.128,436.17105263157896,408.94736842105266,7325,100816,0.07265711791779082,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500326225003,331250,03,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,39205.41,NA,NA,7624,NA,41368,3222,28390,34583,0,6.9189,0,46774.59,0,NA,77,20,13,9,0,0,NA,0,NA,NA,NA,NA,9,2026,2025,36486,0,17607,54093,0.7383,0.7383,0.8507,0.11240000000000006,537.2467532467532,473.84415584415586,8451,118877,0.07109028659875333,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500426225003,331250,04,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,42245.05,NA,NA,7624,NA,41368,3222,28390,34583,0,6.9189,0,46774.59,0,NA,77,20,13,9,0,0,NA,0,NA,NA,NA,NA,10,2026,2025,39973,0,18392,58365,0.7383,0.7383,0.8507,0.11240000000000006,537.2467532467532,519.1298701298701,8451,118877,0.07109028659875333,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500526225003,331250,05,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,42265.39,NA,NA,7134.885459303614,NA,55821,3282.7876553367364,16884,36710,0,6.9189,0,0,0,NA,80,15,11,9,0,0,NA,0,NA,NA,NA,NA,11,2026,2025,42119,0,16884,59003,0.7383,0.7383,0.8507,0.11240000000000006,697.7625,526.4875,3962.2467472548856,9904.084628399083,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500626225003,331250,06,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,44753.67,NA,NA,6770.160933793093,NA,66906,3299.193811928297,17274,39867,0,6.9189,0,0,0,NA,80,15,11,9,0,0,NA,0,NA,NA,NA,NA,12,2026,2025,NA,0,17274,61679,0.7383,0.7383,0.8507,0.11240000000000006,836.325,555.0625,1857.6972294559132,-62589.25482408326,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500726225003,331250,07,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,46782.08,NA,NA,6498.191960391731,NA,72348,3303.621717110949,18785,44579,0,6.9189,0,0,0,NA,80,15,11,9,0,0,NA,0,NA,NA,NA,NA,1,2026,2026,NA,0,18410,64564,0.7383,0.7383,0.8507,0.11240000000000006,904.35,576.925,870.9803342558401,-113969.761196013,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A3312500826225003,331250,08,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,45301.4,NA,NA,6295.389249525343,NA,60398,3304.816777282241,18339,43692,0,6.9189,0,0,0,NA,81,15,11,9,0,0,NA,0,NA,NA,NA,NA,2,2026,2026,NA,0,18339,62517,0.7383,0.7383,1.0162,0.27790000000000004,745.6543209876543,545.4074074074074,408.35865534589703,-133484.41055766275,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
